,route,id,navaid,latitude,longitude,nautical_miles
0,J10,30,NEPAR,49.086111,3.550833,0.0
1,UN858,27,MEDOX,49.333611,5.096944,101.99700994561258
2,UM163,6,VALEK,49.514444,5.781111,130.30394388661122
3,Y180,11,SOBRA,49.860833,7.775556,210.4125871476859
4,T894,7,MISGI,49.945278,7.958889,218.42414829361482
5,Z738,8,NOKDI,49.866389,8.479167,237.20163380087496
6,UM149,3,DETEV,49.823611,9.541944,277.47768896937544
7,Z744,1,LEPSA,49.822881,9.590611,279.34162478552275
8,T161,3,TOSTU,49.713536,9.805942,286.89797489194865
9,UZ160,1,WUR,49.717531,9.947,292.37146386606935
10,T159,5,SUKAD,49.550972,10.532478,314.3563037037459
11,M736,31,RDG,49.040269,12.526547,392.69025632200925
12,T108,8,LITLI,48.964444,12.863889,406.2584312608199
13,L746,4,BALBI,44.905,25.754167,978.3032419875625
14,N616,26,DINRO,43.7,28.808333,1127.665508494266
15,UM859,10,UDROS,42.738889,30.596111,1223.4604842614183
16,N644,12,ODILI,41.721389,42.094444,1703.7500150176904
17,M747,20,LAGAS,41.571944,44.231389,1792.1903398591505
18,M747,21,BARAD,41.358611,45.083333,1831.9284881460285
19,M737,9,NEVEB,41.208056,45.657222,1858.9349605110592
20,T916,5,SUBUT,40.899167,46.821944,1913.9407518496648
21,N59,4,SULEL,40.189167,49.511667,2041.3393849089034
