icao,flight_name,co2,nox,contrails,total,reduction
TRA32A,Current Flight,18.15 T CO2e,4.48 T CO2e,112.55 T CO2e,135.18 T CO2e,
TRA32A,Smart Flight,18.40 T CO2e,4.56 T CO2e,21.02 T CO2e,43.98 T CO2e,68.15%
TRA9B,Current Flight,26.18 T CO2e,7.99 T CO2e,210.63 T CO2e,244.80 T CO2e,
TRA9B,Smart Flight,26.72 T CO2e,8.15 T CO2e,77.05 T CO2e,111.92 T CO2e,54.28%
TRA951M,Current Flight,28.79 T CO2e,8.65 T CO2e,109.99 T CO2e,147.43 T CO2e,
TRA951M,Smart Flight,29.08 T CO2e,8.73 T CO2e,33.93 T CO2e,71.74 T CO2e,51.34%
TRA3L,Current Flight,24.55 T CO2e,6.80 T CO2e,117.91 T CO2e,149.26 T CO2e,
TRA3L,Smart Flight,25.28 T CO2e,7.37 T CO2e,-1.15 T CO2e,31.50 T CO2e,78.89%
TRA6731,Current Flight,24.47 T CO2e,7.52 T CO2e,146.88 T CO2e,178.87 T CO2e,
TRA6731,Smart Flight,24.76 T CO2e,7.72 T CO2e,36.73 T CO2e,69.21 T CO2e,61.31%
